Ligand,Binding Affinity,rmsd/ub, rmsd/lb
2AJF_clean_10445549_uff_E=548.96,-7.1,0.0,0.0
2AJF_clean_10445549_uff_E=548.96,-7.0,15.235,13.84
2AJF_clean_10445549_uff_E=548.96,-6.7,6.289,3.122
2AJF_clean_10445549_uff_E=548.96,-6.4,16.448,15.57
2AJF_clean_10445549_uff_E=548.96,-6.4,6.263,3.24
2AJF_clean_10445549_uff_E=548.96,-6.3,16.462,15.017
2AJF_clean_10445549_uff_E=548.96,-6.2,16.137,14.49
2AJF_clean_10445549_uff_E=548.96,-6.2,8.313,5.806
2AJF_clean_10445549_uff_E=548.96,-6.2,5.95,3.698
2AJF_clean_107970_uff_E=220.61,-6.6,0.0,0.0
2AJF_clean_107970_uff_E=220.61,-6.5,15.738,14.219
2AJF_clean_107970_uff_E=220.61,-6.4,15.575,13.939
2AJF_clean_107970_uff_E=220.61,-6.4,2.098,1.575
2AJF_clean_107970_uff_E=220.61,-6.3,17.011,14.024
2AJF_clean_107970_uff_E=220.61,-6.2,3.704,2.122
2AJF_clean_107970_uff_E=220.61,-6.2,17.39,14.564
2AJF_clean_107970_uff_E=220.61,-6.2,17.21,14.433
2AJF_clean_107970_uff_E=220.61,-5.9,14.7,13.267
2AJF_clean_213039_uff_E=952.16,-8.5,0.0,0.0
2AJF_clean_213039_uff_E=952.16,-8.3,6.394,2.418
2AJF_clean_213039_uff_E=952.16,-8.1,2.038,1.435
2AJF_clean_213039_uff_E=952.16,-8.0,2.256,1.5
2AJF_clean_213039_uff_E=952.16,-7.9,6.455,2.486
2AJF_clean_213039_uff_E=952.16,-7.9,7.132,2.706
2AJF_clean_213039_uff_E=952.16,-7.8,6.608,2.932
2AJF_clean_213039_uff_E=952.16,-7.7,8.53,2.823
2AJF_clean_213039_uff_E=952.16,-7.6,4.363,2.871
2AJF_clean_2719_uff_E=262.55,-5.8,0.0,0.0
2AJF_clean_2719_uff_E=262.55,-5.8,8.19,5.547
2AJF_clean_2719_uff_E=262.55,-5.5,8.409,4.967
2AJF_clean_2719_uff_E=262.55,-5.3,16.818,15.082
2AJF_clean_2719_uff_E=262.55,-5.2,11.368,9.325
2AJF_clean_2719_uff_E=262.55,-5.2,18.618,15.958
2AJF_clean_2719_uff_E=262.55,-5.2,5.048,3.425
2AJF_clean_2719_uff_E=262.55,-5.1,7.389,6.081
2AJF_clean_2719_uff_E=262.55,-5.1,7.726,3.501
2AJF_clean_492405_uff_E=221.12,-5.4,0.0,0.0
2AJF_clean_492405_uff_E=221.12,-5.4,3.846,2.503
2AJF_clean_492405_uff_E=221.12,-5.2,4.243,2.976
2AJF_clean_492405_uff_E=221.12,-5.1,3.809,3.145
2AJF_clean_492405_uff_E=221.12,-5.1,7.589,6.755
2AJF_clean_492405_uff_E=221.12,-4.9,12.732,11.919
2AJF_clean_492405_uff_E=221.12,-4.9,16.701,15.75
2AJF_clean_492405_uff_E=221.12,-4.7,15.732,14.834
2AJF_clean_492405_uff_E=221.12,-4.7,13.469,12.427
